id	type	origin	destination	demand
1	111	1	2	1365.9
2	111	1	3	407.4
3	111	1	4	861.4
4	111	1	5	354.4
5	111	1	6	545.1
6	111	1	7	431.5
7	111	1	8	1.0
8	111	1	9	56.8
9	111	1	10	75.3
10	111	1	11	1.0
11	111	1	12	37.9
12	111	1	13	48.5
13	111	1	14	1.0
14	111	1	15	185.9
15	111	1	16	12.1
16	111	1	17	81.1
17	111	1	18	126.6
18	111	1	19	67.2
19	111	1	20	382.4
20	111	1	21	101.6
21	111	1	22	71.7
22	111	1	23	25.8
23	111	1	24	21.1
24	111	1	25	665.1
25	111	1	26	29.0
26	111	1	27	18.9
27	111	1	28	75.9
28	111	1	29	139.1
29	111	1	30	119.1
30	111	1	31	295.6
31	111	1	32	85.9
32	111	1	33	74.3
33	111	1	34	96.4
34	111	1	35	53.6
35	111	1	36	37.9
36	111	1	37	13.7
37	111	1	38	107.7
38	111	2	1	1171.2
39	111	2	3	608.1
40	111	2	4	1271.4
41	111	2	5	542.3
42	111	2	6	808.4
43	111	2	7	629.1
44	111	2	8	1.0
45	111	2	9	74.9
46	111	2	10	87.3
47	111	2	11	1.0
48	111	2	12	48.1
49	111	2	13	63.9
50	111	2	14	1.0
51	111	2	15	566.3
52	111	2	16	22.0
53	111	2	17	107.5
54	111	2	18	213.9
55	111	2	19	101.1
56	111	2	20	511.1
57	111	2	21	156.8
58	111	2	22	105.2
59	111	2	23	39.0
60	111	2	24	47.6
61	111	2	25	942.1
62	111	2	26	51.8
63	111	2	27	27.7
64	111	2	28	111.9
65	111	2	29	194.1
66	111	2	30	194.8
67	111	2	31	329.9
68	111	2	32	95.1
69	111	2	33	79.1
70	111	2	34	134.9
71	111	2	35	81.3
72	111	2	36	55.1
73	111	2	37	19.6
74	111	2	38	166.9
75	111	3	1	721.1
76	111	3	2	1237.9
77	111	3	4	1107.9
78	111	3	5	386.6
79	111	3	6	582.8
80	111	3	7	457.9
81	111	3	8	1.0
82	111	3	9	57.1
83	111	3	10	62.4
84	111	3	11	1.0
85	111	3	12	33.4
86	111	3	13	37.2
87	111	3	14	1.0
88	111	3	15	241.6
89	111	3	16	15.6
90	111	3	17	102.6
91	111	3	18	159.1
92	111	3	19	71.1
93	111	3	20	385.6
94	111	3	21	109.6
95	111	3	22	78.1
96	111	3	23	25.1
97	111	3	24	32.8
98	111	3	25	687.5
99	111	3	26	27.3
100	111	3	27	21.4
101	111	3	28	82.9
102	111	3	29	109.6
103	111	3	30	132.1
104	111	3	31	234.5
105	111	3	32	69.9
106	111	3	33	61.1
107	111	3	34	101.6
108	111	3	35	58.7
109	111	3	36	43.4
110	111	3	37	13.6
111	111	3	38	116.9
112	111	4	1	1222.5
113	111	4	2	2106.7
114	111	4	3	938.6
115	111	4	5	665.9
116	111	4	6	988.8
117	111	4	7	769.8
118	111	4	8	1.0
119	111	4	9	91.6
120	111	4	10	108.6
121	111	4	11	1.0
122	111	4	12	47.8
123	111	4	13	61.0
124	111	4	14	1.0
125	111	4	15	651.9
126	111	4	16	27.7
127	111	4	17	166.3
128	111	4	18	297.6
129	111	4	19	155.6
130	111	4	20	601.6
131	111	4	21	191.1
132	111	4	22	132.6
133	111	4	23	37.8
134	111	4	24	62.4
135	111	4	25	881.0
136	111	4	26	53.6
137	111	4	27	36.1
138	111	4	28	107.7
139	111	4	29	179.9
140	111	4	30	301.6
141	111	4	31	508.9
142	111	4	32	119.4
143	111	4	33	94.3
144	111	4	34	167.5
145	111	4	35	98.7
146	111	4	36	74.6
147	111	4	37	21.7
148	111	4	38	199.9
149	111	5	1	243.4
150	111	5	2	419.2
151	111	5	3	145.3
152	111	5	4	311.6
153	111	5	6	195.6
154	111	5	7	158.7
155	111	5	8	1.0
156	111	5	9	19.8
157	111	5	10	21.3
158	111	5	11	1.0
159	111	5	12	6.8
160	111	5	13	13.6
161	111	5	14	1.0
162	111	5	15	71.6
163	111	5	16	4.4
