id	type	origin	destination	demand
1	111	1	3	402.1
2	111	1	5	25.66
3	111	1	6	28.2
4	111	1	7	12.44
5	111	1	8	16.64
6	111	1	9	19.87
7	111	1	10	33.93
8	111	1	11	24.81
9	111	1	12	24.81
10	111	1	13	27.29
11	111	1	14	15.73
12	111	1	15	33.08
13	111	1	16	24.0
14	111	1	17	19.85
15	111	1	18	7.463
16	111	1	19	19.06
17	111	1	20	3.308
18	111	1	22	3.366
19	111	1	23	37.35
20	111	1	24	40.21
21	111	1	25	30.75
22	111	1	26	26.5
23	111	1	27	21.6
24	111	1	28	39.01
25	111	1	29	47.52
26	111	1	30	39.85
27	111	1	31	42.29
28	111	1	32	50.49
29	111	1	33	30.85
30	111	1	34	29.83
31	111	1	35	50.47
32	111	1	36	43.14
33	111	1	37	69.78
34	111	1	38	15.1
35	111	1	39	4.962
36	111	1	40	19.87
37	111	1	41	50.58
38	111	1	42	21.5
39	111	1	43	6.617
40	111	1	44	66.43
41	111	1	45	18.21
42	111	1	46	3.308
43	111	1	47	3.366
44	111	1	48	4.212
45	111	1	49	14.89
46	111	1	50	9.098
47	111	1	51	9.963
48	111	1	52	5.001
49	111	1	53	17.41
50	111	1	54	2.519
51	111	1	55	0.827
52	111	1	57	0.827
53	111	1	59	1.654
54	111	1	60	0.827
55	111	1	61	6.617
56	111	1	62	7.444
57	111	1	63	17.37
58	111	1	64	13.23
59	111	1	65	15.71
60	111	1	68	13.33
61	111	1	69	1.654
62	111	1	70	4.135
63	111	1	71	9.925
64	111	1	72	10.75
65	111	1	73	7.444
66	111	1	74	216.2
67	111	1	75	24.02
68	111	1	76	21.5
69	111	1	77	12.41
70	111	1	78	10.0
71	111	1	79	1.673
72	111	1	80	3.308
73	111	1	81	6.655
74	111	1	84	49.62
75	111	1	85	5.789
76	111	1	86	1.654
77	111	1	87	8.271
78	111	1	88	2.481
79	111	1	89	0.827
80	111	1	90	9.098
81	111	1	91	2.481
82	111	1	92	9.098
83	111	1	93	4.962
84	111	1	94	4.135
85	111	1	95	15.71
86	111	1	97	1.654
87	111	1	98	1.654
88	111	1	100	7.444
89	111	1	101	20.73
90	111	1	102	40.64
91	111	1	103	0.827
92	111	1	104	5.789
93	111	1	105	26.49
94	111	1	106	2.481
95	111	1	107	2.481
96	111	3	6	1.654
97	111	3	19	0.846
98	111	3	74	2.538
99	111	5	1	13.27
100	111	5	3	20.68
101	111	5	6	8.271
102	111	5	7	3.308
