id	type	origin	dest	dtime	vot
2622	121	9011	9002	0	40.91048367186525
5153	111	9017	9016	0	20.42704514667837
1096	111	9008	9005	1	5.590349608929854
1508	111	9009	9010	1	2.5871886730010405
2293	111	9010	9015	1	21.28421684053797
2544	111	9010	9022	1	10.41422422667287
481	121	9004	9016	2	41.99382557020546
2447	111	9010	9019	2	5.573126733355023
1583	121	9009	9013	3	7.681658425879396
3028	111	9011	9023	3	46.79994838907191
6063	111	9021	9008	3	31.9726383465937
2904	111	9011	9015	4	37.47542678779328
4010	111	9015	9010	4	10.555940154812387
5519	111	9019	9015	4	61.04287031842756
476	111	9004	9015	6	20.21241609726125
1461	121	9009	9010	6	48.498680463200245
2747	111	9011	9010	6	7.023070449034573
1060	111	9008	9001	7	15.25085287668287
2030	121	9010	9011	7	28.667167353336815
3844	111	9014	9021	7	0.055907402737828286
4533	111	9016	9010	7	21.839362997703137
4833	111	9016	9022	7	17.889041108439574
6352	121	9022	9010	7	67.56790162139308
6747	121	9022	9024	7	16.87122767169906
1894	111	9010	9008	8	20.010427620440545
4168	121	9015	9019	8	16.148156195814128
4748	121	9016	9020	8	39.36526321391556
6284	121	9022	9004	8	7.7799967785180595
2576	111	9010	9023	9	19.589342848879408
2599	111	9010	9024	9	41.170537033860484
6725	111	9022	9023	9	17.961011906780733
7032	111	9023	9022	9	3.880195388054294
3075	121	9012	9004	10	105.14459862688742
3333	121	9013	9001	10	17.24489945565424
3869	121	9014	9023	10	38.68453035788009
4357	121	9016	9004	10	58.92266227088372
5241	111	9017	9021	10	14.854595785158049
6330	111	9022	9008	10	46.16096189615788
1451	121	9009	9010	11	42.455651425394045
2624	111	9011	9002	11	19.663168229754348
2048	121	9010	9011	12	0.5734819890598093
2086	111	9010	9011	12	4.82168351084805
2903	111	9011	9015	12	22.82589579076551
632	111	9005	9014	13	27.78506690699783
1413	111	9009	9004	13	23.88350704220168
1897	111	9010	9008	13	11.78251675523235
3294	121	9012	9020	13	15.58828663079082
3801	121	9014	9017	13	37.01305346814692
3850	121	9014	9022	13	64.57943157357849
4785	111	9016	9020	13	10.512230282432874
6611	111	9022	9019	13	14.637551438537546
783	121	9006	9019	14	6.877999286827167
3756	111	9014	9013	14	8.823354234657549
3354	111	9013	9003	15	13.133387185053921
4626	111	9016	9013	15	20.853426297057556
4740	111	9016	9019	15	118.30378648605989
4958	121	9017	9010	15	1.7822136202746894
1977	111	9010	9009	16	44.69197445330479
3392	121	9013	9009	16	28.077405469561654
5457	111	9019	9010	16	27.981494809661363
546	121	9005	9010	17	1.9096216550431124
3512	111	9013	9014	17	3.236763993135461
4011	111	9015	9010	17	36.744985783867875
743	111	9006	9013	18	12.023795429663528
