id	type	origin	destination	demand
1	100	9001	9002	11.808
2	100	9001	9003	8.53644
3	100	9001	9004	59.64730000000001
4	100	9001	9006	21.0388
5	100	9001	9007	17.7507
6	100	9001	9008	33.5382
7	100	9001	9009	28.2328
8	100	9001	9010	71.0808
9	100	9001	9011	43.3819
10	100	9001	9012	60.5964
11	100	9001	9013	57.7868
12	100	9001	9014	20.6305
13	100	9001	9015	21.5907
14	100	9001	9016	40.6218
15	100	9001	9017	33.5635
16	100	9001	9018	52.2014
17	100	9001	9019	10.7133
18	100	9001	9020	25.3709
19	100	9001	9021	11.6785
20	100	9001	9022	24.373700000000003
21	100	9001	9023	24.6284
22	100	9001	9024	25.0947
23	100	9002	9001	11.0073
24	100	9002	9004	12.7368
25	100	9002	9006	8.97039
26	100	9002	9007	11.7845
27	100	9002	9008	19.3355
28	100	9002	9009	11.7067
29	100	9002	9010	39.87250000000001
30	100	9002	9011	23.0865
31	100	9002	9012	12.9344
32	100	9002	9013	17.2114
33	100	9002	9014	15.563800000000002
34	100	9002	9015	16.8146
35	100	9002	9016	32.9258
36	100	9002	9017	31.7943
37	100	9002	9019	10.8901
38	100	9002	9020	20.9068
39	100	9002	9022	22.382300000000004
40	100	9003	9001	8.07254
41	100	9003	9004	9.340930000000002
42	100	9003	9006	6.5787
43	100	9003	9007	8.64254
44	100	9003	9008	14.180299999999999
45	100	9003	9009	8.5855
46	100	9003	9010	29.2417
47	100	9003	9011	16.9312
48	100	9003	9012	9.4858
49	100	9003	9013	12.6225
50	100	9003	9014	11.4142
51	100	9003	9015	12.3315
52	100	9003	9016	24.1472
53	100	9003	9017	23.3173
54	100	9003	9022	16.4147
55	100	9003	9023	12.6216
56	100	9004	9001	58.015299999999996
57	100	9004	9002	13.2978
58	100	9004	9003	9.61352
59	100	9004	9006	36.677900000000015
60	100	9004	9007	22.4739
61	100	9004	9008	42.4615
62	100	9004	9009	65.9633
63	100	9004	9010	135.127
64	100	9004	9011	81.1646
65	100	9004	9012	68.2275
66	100	9004	9013	64.6308
67	100	9004	9014	32.3504
68	100	9004	9015	37.908200000000015
69	100	9004	9016	54.0951
70	100	9004	9017	45.9169
71	100	9004	9019	18.6077
72	100	9004	9020	31.0115
73	100	9004	9021	14.103600000000002
74	100	9004	9022	39.5117
75	100	9004	9023	27.8054
76	100	9004	9024	28.261
77	100	9005	9010	295.432
78	100	9005	9014	115.31900000000003
79	100	9005	9021	74.6739
80	100	9006	9001	20.3664
81	100	9006	9002	9.311330000000003
82	100	9006	9003	6.73152
83	100	9006	9004	31.0069
84	100	9006	9007	34.5501
85	100	9006	9008	84.8158
86	100	9006	9009	25.8261
87	100	9006	9010	57.05629999999999
88	100	9006	9011	31.3098
89	100	9006	9012	21.2907
90	100	9006	9013	23.9383
91	100	9006	9014	15.2487
92	100	9006	9015	17.5809
93	100	9006	9016	61.79810000000001
94	100	9006	9017	45.201100000000004
95	100	9006	9019	12.9345
96	100	9006	9020	38.669500000000006
97	100	9006	9021	10.854200000000004
98	100	9006	9022	24.9928
99	100	9006	9023	14.5406
100	100	9006	9024	19.7888
101	100	9007	9001	14.9595
102	100	9007	9002	10.0795
103	100	9007	9003	7.28683
104	100	9007	9004	21.6051
105	100	9007	9006	37.7205
106	100	9007	9008	177.317
107	100	9007	9009	16.3725
108	100	9007	9010	66.0225
109	100	9007	9011	29.214100000000006
110	100	9007	9012	16.2435
111	100	9007	9013	18.3521
112	100	9007	9014	18.187500000000004
113	100	9007	9015	30.9832
114	100	9007	9016	188.284
115	100	9007	9017	95.326
116	100	9007	9019	23.7669
117	100	9007	9020	110.839
118	100	9007	9021	17.7621
119	100	9007	9022	44.4937
120	100	9007	9023	22.7344
121	100	9008	9001	26.901800000000005
122	100	9008	9002	15.411999999999999
123	100	9008	9003	11.141900000000001
124	100	9008	9004	44.1021
125	100	9008	9005	105.628
126	100	9008	9006	106.541
127	100	9008	9007	158.41200000000006
128	100	9008	9009	32.3451
129	100	9008	9010	105.509
130	100	9008	9011	44.3474
131	100	9008	9012	28.568999999999996
132	100	9008	9013	33.2883
