route	sequence	link	stop	dwelltime
1	1	13	1	0
1	2	312	1	0
1	3	1213	1	0
1	4	1324	1	0
1	5	2423	1	0
1	6	2314	1	0
1	7	1415	1	0
1	8	1522	1	0
1	9	2221	1	0
1	10	2120	1	0
2	1	2021	1	0
2	2	2122	1	0
2	3	2215	1	0
2	4	1514	1	0
2	5	1423	1	0
2	6	2324	1	0
2	7	2413	1	0
2	8	1312	1	0
2	9	123	1	0
2	10	31	1	0
3	1	411	1	0
3	2	1114	1	0
3	3	1423	1	0
3	4	2324	1	0
3	5	2421	1	0
3	6	2120	1	0
4	1	2021	1	0
4	2	2124	1	0
4	3	2423	1	0
4	4	2314	1	0
4	5	1411	1	0
4	6	114	1	0
5	1	87	1	0
5	2	718	1	0
5	3	1816	1	0
5	4	1610	1	0
5	5	1017	1	0
5	6	1719	1	0
5	7	1915	1	0
5	8	1522	1	0
5	9	2221	1	0
5	10	2120	1	0
6	1	2021	1	0
6	2	2122	1	0
6	3	2215	1	0
6	4	1519	1	0
6	5	1917	1	0
6	6	1710	1	0
6	7	1016	1	0
6	8	1618	1	0
6	9	187	1	0
6	10	78	1	0
7	1	26	1	0
7	2	68	1	0
7	3	87	1	0
7	4	718	1	0
7	5	1816	1	0
7	6	1610	1	0
7	7	109	1	0
7	8	95	1	0
7	9	54	1	0
7	10	43	1	0
8	1	34	1	0
8	2	45	1	0
8	3	59	1	0
8	4	910	1	0
8	5	1016	1	0
8	6	1618	1	0
8	7	187	1	0
8	8	78	1	0
8	9	86	1	0
8	10	62	1	0



