id	type	origin	destination	demand
1	111	2	59	14.0
2	111	3	1	4.0
3	111	3	2	38.0
4	111	3	4	39.0
5	111	3	5	38.0
6	111	3	6	5.0
7	111	3	7	124.0
8	111	3	24	83.0
9	111	3	26	38.0
10	111	3	30	38.0
11	111	3	42	36.0
12	111	3	47	5.0
13	111	3	55	40.0
14	111	3	58	41.0
15	111	3	59	18.0
16	111	3	60	40.0
17	111	3	67	37.0
18	111	3	72	5.0
19	111	3	81	36.0
20	111	3	84	79.0
21	111	3	85	37.0
22	111	3	89	37.0
23	111	3	98	170.0
24	111	3	99	39.0
25	111	3	102	5.0
26	111	3	103	210.0
27	111	3	104	2.0
28	111	3	105	38.0
29	111	3	106	38.0
30	111	3	111	44.0
31	111	3	112	95.0
32	111	3	114	94.0
33	111	3	139	37.0
34	111	3	146	38.0
35	111	3	147	39.0
36	111	4	6	38.0
37	111	4	24	37.0
38	111	4	30	10.0
39	111	4	52	40.0
40	111	4	80	37.0
41	111	4	85	37.0
42	111	4	95	37.0
43	111	4	99	39.0
44	111	4	100	40.0
45	111	4	103	39.0
46	111	4	105	39.0
47	111	4	114	95.0
48	111	4	146	38.0
49	111	4	147	84.0
50	111	5	3	6.0
51	111	5	4	85.0
52	111	5	8	46.0
53	111	5	12	53.0
54	111	5	25	43.0
55	111	5	55	47.0
56	111	5	59	14.0
57	111	5	72	6.0
58	111	5	74	45.0
59	111	5	85	43.0
60	111	5	86	42.0
61	111	5	97	45.0
62	111	5	100	46.0
63	111	5	104	13.0
64	111	5	106	85.0
65	111	5	113	51.0
66	111	6	7	38.0
67	111	6	81	37.0
68	111	6	104	39.0
69	111	6	132	36.0
70	111	7	1	45.0
71	111	7	3	45.0
72	111	7	30	45.0
73	111	7	38	44.0
74	111	7	50	6.0
75	111	7	94	42.0
76	111	7	96	90.0
77	111	7	97	46.0
78	111	7	98	11.0
79	111	7	99	46.0
80	111	7	100	46.0
81	111	7	104	13.0
82	111	7	105	45.0
83	111	7	106	45.0
84	111	7	107	6.0
85	111	7	109	6.0
86	111	7	114	51.0
87	111	7	126	46.0
88	111	7	146	44.0
89	111	8	1	46.0
90	111	8	7	6.0
91	111	8	30	44.0
92	111	8	49	46.0
93	111	8	58	94.0
94	111	8	59	24.0
95	111	8	100	46.0
96	111	8	104	12.0
97	111	8	147	46.0
98	111	9	3	39.0
99	111	9	98	38.0
100	111	9	100	40.0
101	111	9	106	5.0
102	111	10	1	6.0
103	111	10	2	7.0
104	111	10	9	9.0
105	111	10	26	27.0
106	111	10	30	9.0
107	111	10	59	3.0
108	111	10	60	8.0
109	111	10	98	7.0
110	111	10	100	9.0
111	111	10	101	8.0
112	111	10	102	9.0
113	111	10	104	8.0
114	111	10	114	20.0
115	111	11	1	4.0
116	111	11	2	6.0
117	111	11	3	13.0
118	111	11	4	12.0
119	111	11	5	10.0
120	111	11	6	14.0
121	111	11	7	12.0
122	111	11	8	18.0
123	111	11	9	50.0
124	111	11	10	23.0
125	111	11	12	51.0
126	111	11	13	9.0
127	111	11	14	8.0
128	111	11	15	9.0
129	111	11	17	7.0
130	111	11	18	8.0
131	111	11	19	17.0
132	111	11	23	6.0
133	111	11	24	13.0
134	111	11	25	37.0
135	111	11	26	31.0
136	111	11	27	19.0
137	111	11	29	6.0
138	111	11	30	32.0
139	111	11	31	25.0
140	111	11	35	7.0
141	111	11	38	6.0
142	111	11	39	5.0
143	111	11	45	6.0
144	111	11	47	17.0
145	111	11	49	11.0
146	111	11	54	12.0
147	111	11	55	6.0
148	111	11	58	11.0
149	111	11	59	32.0
150	111	11	62	4.0
151	111	11	65	7.0
152	111	11	67	6.0
153	111	11	76	6.0
154	111	11	77	7.0
155	111	11	82	5.0
156	111	11	84	38.0
157	111	11	86	6.0
158	111	11	90	6.0
159	111	11	95	7.0
160	111	11	96	11.0
161	111	11	97	11.0
162	111	11	98	13.0
163	111	11	99	17.0
164	111	11	100	24.0
165	111	11	101	12.0
166	111	11	102	18.0
167	111	11	103	61.0
168	111	11	104	27.0
169	111	11	105	7.0
170	111	11	107	14.0
171	111	11	109	7.0
172	111	11	113	13.0
173	111	11	114	49.0
174	111	11	116	7.0
175	111	11	117	14.0
176	111	11	120	14.0
177	111	11	135	7.0
178	111	11	141	13.0
179	111	11	147	45.0
180	111	12	1	6.0
181	111	12	2	19.0
182	111	12	3	6.0
183	111	12	4	5.0
184	111	12	5	12.0
185	111	12	6	7.0
186	111	12	7	12.0
187	111	12	8	8.0
188	111	12	9	13.0
189	111	12	11	25.0
190	111	12	14	9.0
191	111	12	16	8.0
192	111	12	18	7.0
193	111	12	19	9.0
194	111	12	25	6.0
195	111	12	27	17.0
196	111	12	29	7.0
197	111	12	30	5.0
198	111	12	31	12.0
199	111	12	35	13.0
200	111	12	48	5.0
201	111	12	55	6.0
202	111	12	58	6.0
203	111	12	59	9.0
204	111	12	67	6.0
205	111	12	69	6.0
206	111	12	72	5.0
207	111	12	80	5.0
208	111	12	81	12.0
209	111	12	82	6.0
210	111	12	83	6.0
211	111	12	84	5.0
212	111	12	87	7.0
213	111	12	88	13.0
214	111	12	91	7.0
215	111	12	97	6.0
216	111	12	98	17.0
217	111	12	99	5.0
218	111	12	100	6.0
219	111	12	102	12.0
220	111	12	103	30.0
221	111	12	104	31.0
222	111	12	105	5.0
223	111	12	108	7.0
